,video_id,label,total_label,cls_label,or_label
79,-_q4_W--L4c,"{""Joe Biden"": 1, ""Hunter Biden"": 1, ""Donald Trump"": 0}",0.6666666666666666,1,1
80,-a6fAA027Eg,"{""Nicole Kidman"": 0, ""Selena Gomez"": 0, ""Taylor Swift"": 0}",0.0,0,0
81,-aGNRV0dfsQ,"{""Joe Biden"": 0, ""Donald Trump"": 1}",0.5,1,1
82,-aIEzH2SJZ4,"{""Vladimir Putin"": 0, ""Elon Musk"": 1}",0.5,1,1
83,-aXjgiQXfCs,"{""Jimmy Kimmel"": 0, ""Gwyneth Paltrow"": 0}",0.0,0,0
84,-bvaAbVGAoU,"{""Joe Biden"": 0, ""Kamala Harris"": 0, ""Bernie Sanders"": 0}",0.0,0,0
85,-cQvtc61Zys,"{""Elon Musk"": 0, ""Xi Jinping"": 0}",0.0,0,0
86,-cTk_QwFWq0,"{""Kamala Harris"": 1, ""Nigel Farage"": 1, ""Donald Trump"": 1, ""Vladimir Putin"": 0, ""Benjamin Netanyahu"": 0, ""Melania Trump"": 1}",0.6666666666666666,1,1
87,-caN5IQ7dYo,"{""Tom Brady"": 0, ""Kendrick Lamar"": 0}",0.0,0,0
88,-cgOhkdW4V0,"{""Rudy Giuliani"": 1, ""Donald Trump"": 1}",1.0,1,1
89,-d7UarVepK4,"{""Elon Musk"": 1, ""Donald Trump"": 0}",0.5,1,1
90,-dX6vIpp55M,"{""Jill Biden"": 1, ""Melania Trump"": 0, ""Jake Sullivan"": 1}",0.6666666666666666,1,1
91,-dvPBcRDHZ0,"{""David Beckham"": 0, ""Martin Scorsese"": 0, ""Jimmy Kimmel"": 0, ""Donald Trump"": 0}",0.0,0,0
92,-elNcbcFVJs,"{""Jeff Bezos"": 0, ""Kamala Harris"": 0, ""Donald Trump"": 1}",0.3333333333333333,1,1
93,-fcud5SNqDU,"{""Robert De Niro"": 0, ""Jimmy Kimmel"": 0}",0.0,0,0
94,-fs9eAOAUSY,"{""Vladimir Putin"": 0, ""Elon Musk"": 1, ""Donald Trump"": 0}",0.3333333333333333,1,1
95,-ftMyrUEh1M,"{""Hillary Clinton"": 0, ""Kamala Harris"": 0, ""Donald Trump"": 0, ""Joe Biden"": 0, ""Michelle Obama"": 0}",0.0,0,0
96,-gnWIzNQaZE,"{""Tim Scott"": 0, ""Donald Trump"": 0}",0.0,0,0
97,-hI1dSpHs8Q,"{""Kamala Harris"": 0, ""Donald Trump"": 0}",0.0,0,0
98,-hSv4_VFrcU,"{""Hillary Clinton"": 0, ""Kamala Harris"": 1, ""Ryan Gosling"": 0, ""Donald Trump"": 1}",0.5,1,1
99,-hbEafAUk8o,"{""Joe Biden"": 0, ""Kamala Harris"": 0, ""Taylor Swift"": 0, ""Donald Trump"": 0}",0.0,0,0
100,-jWrQn955es,"{""Joe Biden"": 1, ""Hillary Clinton"": 0}",0.5,1,1
101,-jg39vuiURs,"{""George Clooney"": 0, ""Kamala Harris"": 0, ""Arnold Schwarzenegger"": 0, ""Donald Trump"": 1}",0.25,0,1
102,-kB1Up5k41Y,"{""Jim Jordan"": 1, ""Mark Zuckerberg"": 1, ""Hunter Biden"": 0}",0.6666666666666666,1,1
103,-kH-xCcKEBM,"{""Marjorie Taylor Greene"": 0, ""Chuck Schumer"": 1}",0.5,1,1
105,-lLVXpd7Uiw,"{""Kamala Harris"": 0, ""Eric Trump"": 0, ""Donald Trump"": 1}",0.3333333333333333,1,1
106,-m7_s7J4OPw,"{""Boris Johnson"": 1, ""Donald Trump"": 1}",1.0,1,1
107,-n-gO1EzjHI,"{""Hunter Biden"": 1, ""Donald Trump"": 0}",0.5,1,1
108,-nYC8vqheQU,"{""Mariah Carey"": 0, ""Travis Scott"": 0, ""Kendrick Lamar"": 0}",0.0,0,0
109,-ndye6C4cf0,"{""Joe Biden"": 0, ""Rudy Giuliani"": 0, ""Donald Trump"": 0, ""Mike Pence"": 0}",0.0,0,0
110,-o0bZ3QigVI,"{""Bruce Springsteen"": 0, ""Kamala Harris"": 1, ""Jimmy Kimmel"": 0, ""Donald Trump"": 0}",0.25,0,1
111,-oGQ4WRRMTY,"{""Jim Jordan"": 0, ""Joe Biden"": 0, ""Kamala Harris"": 1, ""Hunter Biden"": 0, ""Bernie Sanders"": 0}",0.2,0,1
112,-oRh6gElnhM,"{""Joe Biden"": 0, ""Hillary Clinton"": 0, ""Donald Trump"": 1}",0.3333333333333333,1,1
113,-oebw2Qf7Lc,"{""Elon Musk"": 0, ""Donald Trump"": 0}",0.0,0,0
114,-q5YA5zAo-Q,"{""Imran Khan"": 0, ""Benjamin Netanyahu"": 1}",0.5,1,1
115,-r-BBXIDDuc,"{""Nancy Pelosi"": 1, ""Gavin Newsom"": 1}",1.0,1,1
116,-r5REjbso6A,"{""Jimmy Fallon"": 0, ""Arnold Schwarzenegger"": 1}",0.5,1,1
117,-rMDALy5i9s,"{""Jimmy Kimmel"": 1, ""Donald Trump"": 0}",0.5,1,1
118,-rTvbaSrxKc,"{""Joe Biden"": 0, ""Kamala Harris"": 0, ""Bernie Sanders"": 0, ""Donald Trump"": 0}",0.0,0,0
119,-rgzYO2kLgw,"{""Vladimir Putin"": 0, ""Volodymyr Zelenskyy"": 1, ""Donald Trump"": 0}",0.3333333333333333,1,1
120,-sUb3YtRMsA,"{""Mike Pence"": 0, ""Joe Biden"": 0, ""Donald Trump"": 0}",0.0,0,0
121,-tLJjoiZ1Fc,"{""Kamala Harris"": 1, ""Donald Trump"": 0}",0.5,1,1
122,-tR1h91TSKc,"{""Joe Biden"": 0, ""Donald Trump"": 0, ""Gwyneth Paltrow"": 1, ""Mike Pence"": 0}",0.25,0,1
123,-tgNvc6K7CQ,"{""Nancy Pelosi"": 0, ""Donald Trump"": 0}",0.0,0,0
124,-uBI4APF9M4,"{""Barack Obama"": 0, ""Kamala Harris"": 1, ""Hunter Biden"": 0, ""Donald Trump"": 0, ""Joe Biden"": 0, ""Michelle Obama"": 1}",0.3333333333333333,1,1
125,-w88DcCyLqo,"{""Jim Jordan"": 0, ""Joe Biden"": 0, ""Gavin Newsom"": 1, ""Donald Trump"": 0}",0.25,0,1
126,-xGeoN4noLg,"{""Joe Biden"": 1, ""Chuck Schumer"": 0, ""Hunter Biden"": 1, ""Donald Trump"": 0}",0.5,1,1
127,-xsJ6-NDZKY,"{""Joe Biden"": 1, ""Kamala Harris"": 0, ""Greg Abbott"": 0, ""Bernie Sanders"": 0, ""Donald Trump"": 0}",0.2,0,1
128,-yULF4H6ZVc,"{""Narendra Modi"": 0, ""Vladimir Putin"": 0, ""Xi Jinping"": 1}",0.3333333333333333,1,1
129,-zkq6CAbBnI,"{""Kamala Harris"": 1, ""Donald Trump"": 1}",1.0,1,1
130,0-VJ1G9wsJQ,"{""Joe Biden"": 0, ""Chuck Schumer"": 1, ""Donald Trump"": 0}",0.3333333333333333,1,1
131,00JnzwC2zdc,"{""Nancy Pelosi"": 0, ""Joe Biden"": 0, ""Jill Biden"": 0, ""Kamala Harris"": 1, ""Hunter Biden"": 0}",0.2,0,1
132,00kHYvlyGU8,"{""Joe Biden"": 0, ""Kamala Harris"": 0, ""Donald Trump"": 0}",0.0,0,0
133,0104VRD5Qhk,"{""Kamala Harris"": 0, ""Bernie Sanders"": 1, ""Donald Trump"": 0}",0.3333333333333333,1,1
134,01TVhX7ilAw,"{""Elon Musk"": 0, ""Donald Trump"": 1, ""Justin Trudeau"": 0}",0.3333333333333333,1,1
135,01maU3WmSSQ,"{""Kamala Harris"": 0, ""Donald Trump"": 0}",0.0,0,0
136,01nSKEB-kAg,"{""Joe Biden"": 0, ""Kamala Harris"": 0, ""Gavin Newsom"": 1, ""Donald Trump"": 0}",0.25,0,1
137,020biWSQh8M,"{""Marco Rubio"": 0, ""Hillary Clinton"": 0, ""Bill Clinton"": 0, ""Donald Trump"": 0, ""Joe Biden"": 0, ""Dana White"": 0, ""Mike Pence"": 0}",0.0,0,0
138,03YgUZQx3dc,"{""Elon Musk"": 0, ""Donald Trump"": 1}",0.5,1,1
139,042QcCeu2a8,"{""Joe Biden"": 1, ""Donald Trump"": 0, ""Mike Pence"": 0}",0.3333333333333333,1,1
140,04Vdesa_VlI,"{""Michael Cohen"": 0, ""Donald Trump"": 0}",0.0,0,0
141,04_x63lui6o,"{""Kamala Harris"": 0, ""Hunter Biden"": 1, ""Donald Trump"": 0, ""Joe Biden"": 0, ""Elon Musk"": 1}",0.4,1,1
142,05pTayi2HZI,"{""Hakeem Jeffries"": 0, ""Chuck Schumer"": 0, ""Donald Trump"": 0}",0.0,0,0
143,066Ep3LJN0c,"{""Kamala Harris"": 1, ""Donald Trump"": 0}",0.5,1,1
144,06Ib4CZ58Xg,"{""Elon Musk"": 0, ""Donald Trump"": 0}",0.0,0,0
145,06WbuG67SSc,"{""Hunter Biden"": 0, ""Donald Trump"": 0}",0.0,0,0
146,06ilbJ0VuMk,"{""Vladimir Putin"": 0, ""Donald Trump"": 0}",0.0,0,0
147,071AJxJ9pHM,"{""Vladimir Putin"": 0, ""Joe Biden"": 1, ""Kamala Harris"": 1, ""Donald Trump"": 1}",0.75,1,1
148,074ihDk8ii8,"{""Kamala Harris"": 0, ""Donald Trump"": 0}",0.0,0,0
149,0797LSOQa6E,"{""Nancy Pelosi"": 0, ""Joe Biden"": 0, ""George Clooney"": 0, ""Barack Obama"": 0, ""Kamala Harris"": 0}",0.0,0,0
150,07QQrAEOOSg,"{""Hillary Clinton"": 1, ""Kamala Harris"": 1, ""Bernie Sanders"": 0, ""Donald Trump"": 1, ""Joe Biden"": 1}",0.8,1,1
151,083lFeTFevA,"{""Joe Biden"": 0, ""Donald Trump"": 0}",0.0,0,0
152,08EBJ_kTwMw,"{""Benjamin Netanyahu"": 0, ""Donald Trump"": 0}",0.0,0,0
153,08LomM6IhI0,"{""Joe Biden"": 0, ""Donald Trump"": 0}",0.0,0,0
154,08Y1tYmmVEQ,"{""Joe Biden"": 1, ""Jill Biden"": 1, ""Hunter Biden"": 1}",1.0,1,1
155,09QyRx79tSg,"{""Chuck Schumer"": 0, ""Barack Obama"": 0, ""Kamala Harris"": 0, ""Bill Clinton"": 0, ""Donald Trump"": 1, ""Justin Trudeau"": 0, ""Joe Biden"": 0, ""Hakeem Jeffries"": 1, ""Elon Musk"": 0}",0.2222222222222222,0,1
156,0AMC7Xr3sZ4,"{""Vladimir Putin"": 1, ""Jimmy Fallon"": 0, ""Taylor Swift"": 0}",0.3333333333333333,1,1
157,0AO2XiTVeBo,"{""Kamala Harris"": 0, ""Donald Trump"": 0}",0.0,0,0
158,0AP2UdOepa4,"{""Barack Obama"": 0, ""Kamala Harris"": 1, ""Donald Trump"": 0, ""Joe Biden"": 0, ""Tim Scott"": 1}",0.4,1,1
159,0BB5DKnw6ao,"{""Joe Biden"": 1, ""Donald Trump"": 0}",0.5,1,1
160,0BR2LplNO7k,"{""Hillary Clinton"": 0, ""Hunter Biden"": 0, ""Greg Abbott"": 0, ""Donald Trump"": 0}",0.0,0,0
161,0D9vp8y66xY,"{""Kamala Harris"": 1, ""Jimmy Kimmel"": 1, ""Donald Trump"": 1, ""Joe Biden"": 1}",1.0,1,1
162,0EXgciZoNXg,"{""Marco Rubio"": 0, ""Jim Jordan"": 0, ""Hillary Clinton"": 0, ""Mike Pence"": 0, ""Donald Trump"": 0}",0.0,0,0
163,0EmEUqgrOMU,"{""Benjamin Netanyahu"": 1, ""Donald Trump"": 0}",0.5,1,1
164,0Ewam7zfAtQ,"{""Chuck Schumer"": 0, ""Ted Cruz"": 0, ""Greg Abbott"": 1, ""Donald Trump"": 0}",0.25,0,1
165,0EzGb8JmjMY,"{""Michael Cohen"": 1, ""Donald Trump"": 0}",0.5,1,1
166,0FVGeh08zFc,"{""Joe Biden"": 0, ""Chuck Schumer"": 0, ""Ted Cruz"": 0, ""Donald Trump"": 0}",0.0,0,0
167,0F_bMtJEtFg,"{""Vladimir Putin"": 1, ""Bill Clinton"": 0, ""Xi Jinping"": 0, ""Donald Trump"": 1}",0.5,1,1
168,0G87FCjHzmo,"{""Rudy Giuliani"": 0, ""Donald Trump"": 0}",0.0,0,0
169,0GP5Z7QO1Jc,"{""Marco Rubio"": 0, ""Donald Trump"": 0}",0.0,0,0
170,0HXJVYeljOk,"{""Donald Trump"": 1, ""Vladimir Putin"": 0, ""Joe Biden"": 0, ""Chris Christie"": 0, ""Rudy Giuliani"": 0, ""Michael Cohen"": 0}",0.16666666666666666,0,1
171,0HZPyhnErFo,"{""Margot Robbie"": 0, ""Chris Hemsworth"": 1}",0.5,1,1
172,0LjRHRDOjTk,"{""Kamala Harris"": 1, ""Donald Trump"": 0}",0.5,1,1
173,0LtiHuLHxLQ,"{""Hillary Clinton"": 0, ""Kamala Harris"": 1, ""Hunter Biden"": 0, ""Donald Trump"": 1, ""Jeff Bezos"": 1, ""Eric Trump"": 0}",0.5,1,1
174,0McLoZ0yntM,"{""Taylor Swift"": 1, ""Jimmy Kimmel"": 0, ""Donald Trump"": 0, ""Kendrick Lamar"": 1}",0.5,1,1
175,0NNop7gKpQg,"{""Rudy Giuliani"": 1, ""Donald Trump"": 1}",1.0,1,1
176,0NeIA91Xh4U,"{""Nancy Pelosi"": 0, ""Bruce Springsteen"": 0, ""Jimmy Kimmel"": 0}",0.0,0,0
177,0Nf6rdScOn8,"{""Vladimir Putin"": 0, ""Joe Biden"": 0, ""Kamala Harris"": 0, ""Elon Musk"": 0, ""Donald Trump"": 0}",0.0,0,0
178,0OIPGl6vZHU,"{""Vladimir Putin"": 0, ""Joe Biden"": 0, ""Ted Cruz"": 0, ""Donald Trump"": 0}",0.0,0,0
179,0Odf4wJEoAU,"{""Kamala Harris"": 0, ""Donald Trump"": 0}",0.0,0,0
180,0OkbJcdm-Yg,"{""Vladimir Putin"": 0, ""Xi Jinping"": 1}",0.5,1,1
181,0PdtS98IlcM,"{""Brad Pitt"": 1, ""Lewis Hamilton"": 0}",0.5,1,1
182,0QhqG2-jhvw,"{""Joe Biden"": 0, ""Benjamin Netanyahu"": 0, ""Elon Musk"": 0, ""Donald Trump"": 0}",0.0,0,0
183,0RATxRtjGdk,"{""Jimmy Kimmel"": 0, ""Donald Trump"": 0}",0.0,0,0
184,0RtuS0RZzDc,"{""Joe Biden"": 1, ""Benjamin Netanyahu"": 0, ""Donald Trump"": 1}",0.6666666666666666,1,1
185,0SKg5O13010,"{""Taylor Swift"": 0, ""Donald Trump"": 0}",0.0,0,0
186,0SOh4a9xoWw,"{""Joe Biden"": 1, ""Kamala Harris"": 0, ""Donald Trump"": 1}",0.6666666666666666,1,1
187,0ScsKysPrDI,"{""Joe Biden"": 0, ""Donald Trump"": 0}",0.0,0,0
188,0T6mHuBQ4rw,"{""Joe Biden"": 1, ""Donald Trump"": 0}",0.5,1,1
189,0TTZdYckNac,"{""Jim Jordan"": 0, ""Hunter Biden"": 0, ""Donald Trump"": 0}",0.0,0,0
190,0VNQjE0Jc2M,"{""Joe Biden"": 1, ""Jill Biden"": 1, ""Hunter Biden"": 1, ""Donald Trump"": 0}",0.75,1,1
191,0VSV99PXbbw,"{""Kamala Harris"": 0, ""Donald Trump"": 1, ""Jim Jordan"": 1, ""Ted Cruz"": 0, ""Marjorie Taylor Greene"": 0, ""Elon Musk"": 0}",0.3333333333333333,1,1
192,0X4HyA9l_7U,"{""Danielle Smith"": 0, ""Donald Trump"": 0}",0.0,0,0
193,0YAeiIsbvZE,"{""Benjamin Netanyahu"": 0, ""Kamala Harris"": 0, ""Elon Musk"": 0, ""Donald Trump"": 0}",0.0,0,0
194,0YPV_aQhB2I,"{""Vladimir Putin"": 1, ""Donald Trump"": 0}",0.5,1,1
195,0YQuA0GOGq8,"{""Ted Cruz"": 1, ""Donald Trump"": 0}",0.5,1,1
196,0Z0jpDjqgeo,"{""Steven Spielberg"": 0, ""Harrison Ford"": 0, ""Tom Cruise"": 0, ""Jimmy Kimmel"": 1, ""Hugh Jackman"": 0}",0.2,0,1
197,0ZG5Hk6V3R8,"{""Joe Biden"": 0, ""Kamala Harris"": 0, ""Donald Trump"": 0}",0.0,0,0
198,0_3P1hcr6QQ,"{""Vladimir Putin"": 1, ""Donald Trump"": 0}",0.5,1,1
199,0_d6GKg75cQ,"{""Joe Biden"": 0, ""Kamala Harris"": 0, ""Tim Scott"": 1, ""Donald Trump"": 0}",0.25,0,1
200,0_oKJdU_yMQ,"{""Joe Biden"": 1, ""Kamala Harris"": 0, ""Donald Trump"": 0}",0.3333333333333333,1,1
201,0aQNh-CejyE,"{""Joe Biden"": 0, ""Kamala Harris"": 1, ""Bill Clinton"": 1, ""Donald Trump"": 0}",0.5,1,1
202,0avh01FU19Y,"{""Joe Biden"": 0, ""Chuck Schumer"": 0, ""Kamala Harris"": 0, ""Donald Trump"": 0}",0.0,0,0
203,0bNx9HloeXU,"{""Jimmy Kimmel"": 1, ""Travis Kelce"": 0, ""Taylor Swift"": 0}",0.3333333333333333,1,1
204,0c7i7SRthrA,"{""Marco Rubio"": 1, ""Vladimir Putin"": 0, ""Donald Trump"": 0}",0.3333333333333333,1,1
205,0cF-J1M2eIs,"{""Jeff Bezos"": 1, ""Katy Perry"": 1}",1.0,1,1
206,0d-FdELGQHU,"{""Mike Pence"": 0, ""Donald Trump"": 0}",0.0,0,0
207,0e17qVjGQ_I,"{""Mike Pence"": 0, ""Donald Trump"": 0}",0.0,0,0
